Address,Total cStables in USD,cUSD in USD,cEUR in USD,cREAL in USD,cUSD Balance,cEUR Balance,cREAL Balance
0x14834ac9e4723ce9146dda7e31bd4c42c639c09f,119393.49943197625,119393.49943197625,0,0,119600.52794585052,,
0x74645efa0029302479c9fd0c497ee56e747d7299,119374.41398888642,63845.91398888642,55528.49999999999,0,63956.62290313175,49999.99999999999,
0xa228228fba1dbb76cbfced5abe2644d4ff00adc5,113345.50839648,113345.50839648,0,0,113542.04968448385,,
0xa5c739df3d8e58ca79a77ec34cfd4d7bea0b8e25,113196.61046769735,63372.07305936628,49824.53740833106,0,63481.96033270219,44863.93240257801,
0xdc4690982cff5fa3a098cd336aead7767ab82452,108857.95518548906,108857.95518548906,0,0,109046.7150492393,,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,108173.06155168345,100976.02519460923,7197.036357074216,0,101151.11777948553,6480.488719373128,
0x7da99753ff017f1b7afb2c8c0542718dc9f15f21,104674.60678065754,104674.60678065754,0,0,104856.11271176161,,
0xd108165e54ba435102f965f15ca5dd3101fcd1a9,100857.8526265407,100857.8526265407,0,0,101032.7403,,
0xac19b8ab514623144cbc92c9c4acb3583e594be3,91623.47587934221,91623.47587934221,0,0,91782.35112914676,,
0x5d7083a4124fb2979c4505cd75ae606d5a4435d3,79861.52,79861.52,0,0,80000,,
0x9c958c5b147a07d9b77d20bb5c8f617fa9ba5ed7,79861.52,79861.52,0,0,80000,,
0x1d658605710644b243ab3be33b83d00eafa2fd5e,77998.20237450632,77998.20237450632,0,0,78133.4513788431,,
0x12b73856075fcfd404a66d174adf2bc86f538347,76044.75682070707,76044.75682070707,0,0,76176.61854741264,,
0xdc55d1fd1c04e005051a40bd59c5f95623257bc5,74713.8594674121,74713.8594674121,0,0,74843.41341603526,,
0xdc553892cdeeed9f575aa0fba099e5847fd88d20,72258.35390184999,72258.35390184999,0,0,72383.65,,
0x924531e9baf2862f0deeda90dac18eb53cde859a,69878.83,69878.83,0,0,70000,,
0x69ef304b255449855ecae5466d721d45387ad2d5,66985.60725274794,66985.60725274794,0,0,67101.76040000035,,
0x9ef2923c36c8b24a1c86851ec686d6dcbaeb2467,66883.0246042327,66883.0246042327,0,0,66998.99987301289,,
