Address,Average Locked Celo Balance,Average Locked Celo in USD,Contract,Beneficiary
0x4da92da1afbf103f2b52dd29326e34c98ca1e78c,57758.040510075385,33250.53579281817,Contract,0xAC19B8Ab514623144CBc92C9C4ACb3583E594bE3
0x01b2b83fdf26afc3ca7062c35bc68c8dde56db04,57438.35013279537,33063.31514634239,Contract,0x88996e9484DB8f9398c8DFaC953585Bc7277eFE5
0x87fd391ab38f1424a9c20e92a03eb2f948b34f35,57132.62562918847,32887.338366074335,Contract,0xFef88A4612C90B4fA831B672D8f209e32D4A868a
0xd065c281f14de881b4f5e25ab75aaba7f53f76b5,56763.3143879875,34684.80476359309,,
0xdfb94147574868d6f0ec97260f74ddac132cc07e,56630.130263713705,32302.3011557806,Contract,0x76E000079d437B8884aCC10EC1aBE6Fd702bCA0f
0xa432da0ed5a2c15cbc681227ccec3b375908fdcb,55926.14668203755,32195.035779498598,Contract,0xe1442B26eB987dA49cF02ae14203121335bdb740
0xdadbd6cfb29b054adc9c4c2ef0f21f0bbdb44871,55540.043724323645,31969.16888784282,Contract,0xa8AA9c53b6535656eb3dA9624105e6F4d5cb7bF4
0xbf55df76204f00acf296f76cf4aaf86a866a5eb0,55488.432372852774,31932.50922454492,Contract,0xE516bDce8FaB982F3dB2A32101B4ACE78eAF7a04
0x5024e430d42e53b3465ceb255f190b1a35f9ebbc,54979.87300479408,31646.73139701993,Contract,0xfCB6755104DfE03fE7a8313Bd48E54db6c2b03D1
0x6a8aabaf844c7ee1464ba37843e401a71a75ea08,54858.07043031572,31578.037835051982,,
0x9eb1d96b5f0bdd3114ea1461182c688178ae6c4c,54300.06541065135,30549.33004492422,Contract,self-destructed; look up manually
0x7dbb949346aeda9233218831455d57eb8344af82,54262.60210636832,30529.058462459154,Contract,self-destructed; look up manually
0x22e67f5e69d7bdf087ba157e4b42ad9fe2760728,54241.504420422854,31325.26121316154,,
0x9be419f785ee6e1a0dd20002e9a5013d3fcf3024,53754.184768961684,41073.7875987027,,
0x5742339a2cc7e14f660655a355d7a0a0cbc7840d,53538.42226954258,30818.36363735328,,
0x31dcd357424e2eac02e3e5082f88d7d9a4c687ee,53272.25968455478,30657.745280363415,Contract,0xE2ae5CDD4e7EB76c1e45ab93508A63455772Ec51
0x0a9679635d465d3df2aa42e617e95063db0defb9,52496.19284008001,28086.68727168351,,
0x4b401e52d022a66f4ab1ec6c1574e5a69828856a,52192.42003421227,30042.25742098626,,
0xa2ce5ac9e6437db974bab92faf55d7055b93eee6,51847.824882826506,29845.24536159044,Contract,0xd8024fb9b07F23A7D172C8d251b055CE0b4b4bB0
0x0a3cbf90327c93054ddf210fd6d5fa2cdfc875d0,50810.814754501414,27859.95684194725,Contract,self-destructed; look up manually
0xb3acce79f74c43200ea3f1ee5f674d09ef8cf78d,50640.42717296715,28592.115078403116,,
0x81383e7c8801b102f742f4f5a5fad06867212b05,50260.89782247856,28926.038580274897,,
0xbea90ce4ad218c6b5dd7d42f4d63deadbcb0c882,50000.09999999999,28772.082544050005,Contract,0xdD61FB8D318cCf31c61a9ACe55F7Fc0F3e6fe667
0xcf09f004f2570e5fa5d5403e62e4b1ab3704f829,49652.22850888209,27202.87325559032,Contract,0xe1180c3040E84e55c5ddBba602F34FF0b875c218
0xfefe19e2ce425be7e8ed6576447ef6467bb49e69,49585.57669455501,27062.599007103756,,
0xfe6b868763a16e5b42b2a60f0b6eaaa0fa513cc1,49090.19829463322,28249.534982446243,Contract,0x5ea1B4a39b7Ee87cAf0fe4cf8712C3f90fE661a1
0xc7d1900659b35e4c5583f25ef016d9caa568fd05,48732.75961911539,22879.149143812265,Contract,self-destructed; look up manually
0x6a1c5504aa57de395bbaaeac0aba67300d69eadc,48477.85220243875,26812.584722428015,Contract,self-destructed; look up manually
0xea6916f993571074f3a0b49a67926c9be4667cb6,47414.29802830099,27284.10736455454,Contract,0x64154253036259694a5ca5bd06F05c9d1aF72c7D
0x88c462e6cafbe932a7f07e86d984f0801aa7afb9,46770.11212184495,25439.400492302437,Contract,self-destructed; look up manually
0x29b22526e641cd489375288c62a59093ba4e8963,46710.41024147761,26739.776011578273,,
0x6f8e6ff69935f000b09d182a4739342faeaf0c77,45679.33365793646,26288.59869355695,Contract,0xBcEdEd13006d981822f07db160D703157dEB112d
0xff5a484c3490f02715ebed886dd464390a4397a7,44317.61790308692,27079.65939528468,Contract,self-destructed; look up manually
0x97c4efd0612ac0e9eada06e65112480b4d0a129b,44219.36788651778,24553.805104731076,Contract,self-destructed; look up manually
0x08d06baef01e58f9a10d2b50443b98d2e1a31041,43641.374955696556,25545.71158431674,,
