Address,Average Total stCELO,Average Total stCELO in USD,Contract
0x4e36ee1b00e8c2d9dc9bb084eea467bd86f270c8,258.4030658437789,148.41284315754396,""
0xc81f7b9bbd22a92a1e8c6512ff18e7606c0d097d,252.89273630567922,145.52472262610823,""
0xbe1d7136dc7da1a6c01fb8a8732c0a8095380494,251.8993774605843,177.31416521166722,""
0x27f08c1f502c6a9ff9e21fdd9c2fa502148e55a2,250.64425546724058,146.48577673250765,""
0x26c69f26b1fd4b8b1f83c2f41fe33d8b84924c7a,248.1789759580479,142.73303369569734,""
0xe324061710fd79312b7559aa66a9c3e74cb2b50c,247.42081149952438,142.375955479692,""
0x9c7e597ec0f992da2fd10814f1d1deafa83c7439,237.50449108448836,181.67547736735543,""
0x06677920912dfa402f6400afb4c16b8347fe2a17,236.41130127881908,138.16751168548922,""
0x07720191b28e2b423b88fb2a54745cd44dcb6c0e,221.92085239275121,126.31413132959432,""
0xfe4e02baf74090796d8d5c311f2c0b57576c8365,220.5227455028045,168.50231192967493,""
0xe695cf91811dbc72733e3cc8c6dd679695e0d895,220.05254504694474,123.18561250577545,""
0x99e2626dafc34ae5dd249edf01d0b04407ef99a0,216.97371576598866,125.15114801231815,""
0x6bb804836470d36c10b436b7bb0b6863ac5869e0,215.26935517959447,123.87470537922339,""
0x0e440bd9798ad22cb8fd6f1a433f2f16e8786770,215.11198978355407,128.68257363239942,""
0xf07de3eb4cd58835b218a59fdfc84100d7d0e994,214.12798542535666,129.3312154490575,""
0xb5ef3f16b78a1c9cdb375bbdd57bda8e92f1ce39,213.41904449034556,123.92122642728313,""
0xee5abcbbac76dafb37ecdd9b28f942730b7b893c,207.95961382015673,158.90277275843704,""
0x0cdcab94fdc1cfc8a55a3566817e8803720a372a,206.07403343785367,120.62653453435927,""
0xf4330380719a7d7a34dc4220998ef7359f2ac235,202.23734128422333,114.32276912537431,""
0xfade4d4dd226240f9039022947ad95ded6ff4d4f,200.04615970296572,123.66220147396662,""
0x628b045b58c8a989fa6184b3e5bd11999fea3304,199.85124202367342,92.79026974401638,""
0x4d3f684b8e08d6f36619de58bd9523108459de3d,198.53600951439074,113.35317143930209,""
0x5450a98bd84b8e0708a2a3d55e6c048f15977cd1,198.43716916510263,114.18878384295127,""
0x55d94cc482147eb05644964a84783943a2dce9b9,198.03512872118839,107.89972593448097,""
0xf38560b3ef42a677f9155569d5214802c3415ff5,197.5488857726127,112.47489979093511,""
0x084e0e0260bc4c90de87acbba2b53f0812b8e7ee,195.1110767784396,107.25760603643295,""
0x34b1b23cfb1a6dbbd4b1f299aa2e75d01fe014aa,188.59468625598308,120.47739701510979,""
0x6baa5710dafe757d78d7727dbc94365fcd6c5838,188.52045571400336,120.42901179820392,""
0x0071013a72757fb9ad3bf70560ea6044b4795917,186.66554676172765,106.91532180750308,""
0x5988d7f4dcdfeb0d6fdc3ec2d7aef1545bbd834e,186.03243056803714,108.47097896408204,""
0xea3904eb82acb0fcbff40a7457eca3bc3c75e6ae,185.71634844833397,105.10132330291262,""
0xe95be2366862b39819c74be94996e6c6cf262139,184.65380168721674,105.56024743709541,""
0x9d422d3de7c25b114ae5751f4e44c90c2e0d7bf3,182.0984822258018,104.78684166125647,""
0x5bd1ef67aa8efccc7498892311a9f43417d56a8d,180.08899256154302,116.67660463986542,""
0xd31645e03a821c0c87409382fa4b753c6dce5388,177.56097631193254,104.90309443432012,""
0x2b91b4f5223a0a1f5c7e1d139dddd6b5b57c7a51,176.59568917650282,135.1088585988683,""
0x0d6e94d085a597f316be1833649e05a45103e873,171.53263297726568,104.6187820486322,""
0x9e66717f8ad44b9a465638bce39b344746c75010,169.1464309798042,97.33370681623401,""
0xb91f22ec5708c831803158e7c352635e0165ed6d,168.5645764500109,96.99888415468249,""
0x054fe24a3875df56ece8088b145d7b8d9c80f065,166.5471075665184,96.32692390682935,""
0xe0a46db77fe3932a901214bfa0a1389d3e996332,160.8430615401756,123.0568218119106,""
0xb1ecadcb6afcfed0c5da7e55a3c2830cd225d16c,160.5315662517883,77.36506945604789,""
0x6c082b7d49d76dc357339a3a03e96f5cfe62382d,159.26446921413725,91.64722579681775,""
0x40380492f27e27b71966d1a98a38bb001ad11083,158.6206813485743,92.10269597255086,""
0xffd0349365668b23bca576be07f383351ed99370,154.86583063939608,83.15330711957918,""
0x0fba83a04d487beb8564efb1863c11500ba00557,150.00014158758543,86.31615647523097,""
0xe9a19a362103200513bbf12f86625c5fc5a54da5,149.55698511135995,81.54059659365541,""
0xd81e101a3123c447efb5cfbc88fa598601b852a1,148.67340543023508,106.76141326925774,""
0xf447b405fc7b41ddfef3cf66ec790eabd6b26a47,147.7684130348144,112.91043547355382,""
0xaee4720042b41d65fa8a2273274fb32aa25f2ae5,147.70956601681615,113.15217449935193,""
0x3e4d9c41cadd24f24bc65ec2fd156c1c7d2e655b,146.69690596245644,86.22783684782972,""
0xd1f7f9ae6389f0316508ea6f1a75680f649df45d,144.46787873044389,83.23875938924512,""
0x2942b101c4179949caf012f883d72f6151796188,142.3424790729822,81.17830086171477,""
0x076729ae0d6eaf1525ef32600cb611477ba4b8d3,141.82985942403386,100.360832063554,""
0xd541463231e27cfbd9b0b562c23859bad6113bfc,136.65175130053098,83.34472302870162,""
0x121b3d909d5c4553ea4f519272a982d735e768b0,135.30591121152037,75.00422724131548,""
0x5d3569869d3ecfb0f61bc5f72514dbb3e5eeda94,129.70704708541183,79.2029882203556,""
0xac9187181f698cce7230cc4da4e3615b6a7138c3,125.90683918215854,64.61786718425391,""
0x8ed93e2a1f9a593434a8299b542849dd2a13a6a5,123.6810185468825,76.18212730057283,""
0x44909bdd05dda8a13c681414cf684bf148d5f411,123.5003204280471,68.28048665729739,""
0x16bc994c868c71cbae479850a8181142c5980a64,117.49353672338948,89.7772813844888,""
0x23c04d705d1c1ebb23329ecaa9c26e42d88fb902,116.49357154461036,67.64169660292714,""
0x9a03484aca9c6ef684d60c8b2efa83009918faa3,116.3200870720157,67.13959357073557,""
0x3ed68cc51886aae368a7497e8cc6d393534f2def,112.78638190651404,65.91653468229734,""
0x5fe41d84e29c6581d50c6cd84cc3dffa467cb847,111.99844298011502,68.15901656007284,""
0x24c629b59533cf5a704c87998f6223b002338449,110.28779530147825,70.27405971255833,""
0x1bee9340b560b8ea71821b0434ff02a2c46dcc97,108.94019041719255,61.31839513611288,""
0x0ba99799080fed90ac8f464e5ca2ed488c7a33a4,108.8204905765074,67.34915396648722,""
0x6b4ad86fe228a763dc551fbadc81df876c71e8fd,107.72869863767538,42.30236673754918,""
0x50a976575f8c3f8d46ac3a002e79665bfc206ee6,107.63992238485008,63.00760264755804,""
0xa313befb6819069175c8302e32b3661ec0011ee3,106.92722351399874,51.096100458768085,""
0x4dbbc28aeb85f60f0a1be65226ce2ef6e5c65e21,105.73144812840255,60.84215737673204,""
0x2c71883c42052c1b2a6aa7f0b82ad38c7c10d139,105.65997882323187,59.57886206898162,""
0xead883e02a6222778abdf6147abd719039420128,103.96581243994522,56.68364045574287,""
